listing_id,district,location,title,current_price,current_unit_price,market_reference_unit_price,median_transaction_unit_price,weighted_market_unit_price,comparable_count,core_comparable_count,core_ab_count,core_abc_count,grade_a_count,grade_b_count,grade_c_count,grade_d_count,grade_e_count,extension_comparable_count,excluded_count,core_sample_ratio,v62_price_grade,v62_confidence,v63_quality,v63_quality_reason,price_gap_percent,price_position,price_severity,market_range_available,market_low_unit_price,market_high_unit_price,agent_comment,data_quality_grade,data_quality_reason,data_quality_core_complete,data_quality_missing_core_fields,data_quality_missing_fields,data_quality_supplement_complete,data_quality_supplement_total,formal_valuation_eligible,formal_valuation_reason,generated_at
591-20359151,士林區,,芝山捷運站電梯大樓天母樂活+坡平車位,3800.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,rooms,age,building_type,url",0,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20475937,北投區,,明德捷運亮麗採光電梯4房美廈,3400.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,age,building_type",2,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20489114,北投區,,天母全新裝潢電梯三房,1800.0,52.68,,,,0,0,0,0,0,0,0,0,12,12,23,0.0,樣本不足,低,低,A/B/C 核心比較樣本不足3筆，不宜視為正式市場估價依據。,,無法判斷,未知,False,,,目前核心比較樣本不足，不建議直接將單一成交案例視為市場平均。目前價格僅可作為初步市場參考，建議補充更多同路段、相近坪數及相近建物型態的成交資料。,C,價格核心資料完整，但地址、樓層、屋齡等補充欄位仍有缺漏。,True,,"location,floor,total_floors,age,building_type,url",1,7,否,沒有可用可比樣本,2026-08-22T11:08:44
591-20588071,北投區,,捷運旁透天近關渡渡星里克,2500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,rooms,age,building_type,url",0,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20589416,士林區,,美日僑學校｜靜巷管理三房車位,3780.0,60.05,,,,0,0,0,0,0,0,0,0,9,12,36,0.0,樣本不足,低,低,A/B/C 核心比較樣本不足3筆，不宜視為正式市場估價依據。,,無法判斷,未知,False,,,目前核心比較樣本不足，不建議直接將單一成交案例視為市場平均。目前價格僅可作為初步市場參考，建議補充更多同路段、相近坪數及相近建物型態的成交資料。,C,價格核心資料完整，但地址、樓層、屋齡等補充欄位仍有缺漏。,True,,"location,floor,total_floors,age,building_type",2,7,否,沒有可用可比樣本,2026-08-22T11:08:44
591-20603808,北投區,,天母超值電梯3房,1800.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,age,building_type,url",1,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20624961,北投區,,石牌捷運站榮總振興電梯2房,1800.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,age,building_type,url",1,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20697551,士林區,,芝山站獨家電梯一層一戶大四房,4500.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,age,building_type",2,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20701696,士林區,,近劍潭站稀有面劍潭國小電梯兩房+大車位,3800.0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,低,尚未取得 V6.2 比較決策資料，無法進行成交樣本判讀。,,無法判斷,未知,False,,,目前沒有 V6.2 決策資料，因此不做市場價格推估。先補齊坪數、樓層、屋齡與位置等資料，再進行正式比價。,D,有總價但缺少建物坪數，無法建立可靠的每坪價格基礎。,False,"building_area,current_unit_price","building_area,current_unit_price,location,floor,total_floors,age,building_type",2,7,否,尚未進入 V6.2 正式估價流程，或 V6.2 沒有產生此物件的決策資料。,2026-08-22T11:08:44
591-20737737,士林區,,低總價使用坪數大成家庭院四房一樓,1788.0,70.37,,,,0,0,0,0,0,0,0,0,4,7,42,0.0,樣本不足,低,低,A/B/C 核心比較樣本不足3筆，不宜視為正式市場估價依據。,,無法判斷,未知,False,,,目前核心比較樣本不足，不建議直接將單一成交案例視為市場平均。目前價格僅可作為初步市場參考，建議補充更多同路段、相近坪數及相近建物型態的成交資料。,C,價格核心資料完整，但地址、樓層、屋齡等補充欄位仍有缺漏。,True,,"location,floor,total_floors,age,building_type",2,7,否,沒有可用可比樣本,2026-08-22T11:08:44
