listing_id,district,location,title,total_price,building_area,unit_price,age,floor,total_floors,rooms,halls,bathrooms,parking,source,url,status,updated_at
591-20589416,士林區,,美日僑學校｜靜巷管理三房車位,3780.0,62.95,60.05,,,,4,,,,591,https://sale.591.com.tw/home/house/detail/2/20589416.html,active,2026-08-22 06:18:16
591-20701696,士林區,,近劍潭站稀有面劍潭國小電梯兩房+大車位,3800.0,,,,,,2,,,,591,https://sale.591.com.tw/home/house/detail/2/20701696.html,active,2026-08-22 06:18:16
591-20697551,士林區,,芝山站獨家電梯一層一戶大四房,4500.0,,,,,,4,,,,591,https://sale.591.com.tw/home/house/detail/2/20697551.html,active,2026-08-22 06:18:16
591-20737737,士林區,,低總價使用坪數大成家庭院四房一樓,1788.0,25.41,70.37,,,,4,,,,591,https://sale.591.com.tw/home/house/detail/2/20737737.html,active,2026-08-22 06:18:16
591-20359151,士林區,,芝山捷運站電梯大樓天母樂活+坡平車位,3800.0,,,,,,,,,,591,,active,2026-08-22 06:18:16
591-20475937,北投區,,明德捷運亮麗採光電梯4房美廈,3400.0,,,,,,4,,,,591,https://sale.591.com.tw/home/house/detail/2/20475937.html,active,2026-08-22 06:18:16
591-20489114,北投區,,天母全新裝潢電梯三房,1800.0,34.17,52.68,,,,3,,,,591,,active,2026-08-22 06:18:16
591-20624961,北投區,,石牌捷運站榮總振興電梯2房,1800.0,,,,,,2,,,,591,,active,2026-08-22 06:18:16
591-20588071,北投區,,捷運旁透天近關渡渡星里克,2500.0,,,,,,,,,,591,,active,2026-08-22 06:18:16
591-20603808,北投區,,天母超值電梯3房,1800.0,,,,,,3,,,,591,,active,2026-08-22 06:18:16
