listing_id,title,district,location,total_price,building_area,unit_price,floor,total_floor,rooms,age,building_type,url,source,collected_at,ingest_quality,total_floors,halls,bathrooms,data_quality_grade,missing_fields,core_missing_fields,can_formal_pricing,quality_reason,processed_at
591-20359151,芝山捷運站電梯大樓天母樂活+坡平車位,士林區,,3800,,,,,,,,,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,rooms,age,building_type,url","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20475937,明德捷運亮麗採光電梯4房美廈,北投區,,3400,,,,,4,,電梯大樓,https://sale.591.com.tw/home/house/detail/2/20475937.html,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,age","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20489114,天母全新裝潢電梯三房,北投區,,1800,34.17,52.68,,,3,,,,591,,B,,,,C,"location,floor,total_floors,age,building_type,url",,YES,"核心價格欄位完整；補充欄位缺失：location,floor,total_floors,age,building_type,url",2026-08-22 19:08:44
591-20588071,捷運旁透天近關渡渡星里克,北投區,,2500,,,,,,,,,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,rooms,age,building_type,url","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20589416,美日僑學校｜靜巷管理三房車位,士林區,,3780,62.95,60.05,,,4,,電梯大樓,https://sale.591.com.tw/home/house/detail/2/20589416.html,591,,B,,,,C,"location,floor,total_floors,age",,YES,"核心價格欄位完整；補充欄位缺失：location,floor,total_floors,age",2026-08-22 19:08:44
591-20603808,天母超值電梯3房,北投區,,1800,,,,,3,,,,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,age,building_type,url","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20624961,石牌捷運站榮總振興電梯2房,北投區,,1800,,,,,2,,,,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,age,building_type,url","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20697551,芝山站獨家電梯一層一戶大四房,士林區,,4500,,,,,4,,電梯大樓,https://sale.591.com.tw/home/house/detail/2/20697551.html,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,age","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20701696,近劍潭站稀有面劍潭國小電梯兩房+大車位,士林區,,3800,,,,,2,,電梯大樓,https://sale.591.com.tw/home/house/detail/2/20701696.html,591,,C,,,,D,"building_area,unit_price,location,floor,total_floors,age","building_area,unit_price",NO,"核心價格欄位缺失：building_area,unit_price",2026-08-22 19:08:44
591-20737737,低總價使用坪數大成家庭院四房一樓,士林區,,1788,25.41,70.37,,,4,,公寓,https://sale.591.com.tw/home/house/detail/2/20737737.html,591,,B,,,,C,"location,floor,total_floors,age",,YES,"核心價格欄位完整；補充欄位缺失：location,floor,total_floors,age",2026-08-22 19:08:44
