_id,_importdate,build_b,build_c,build_l,build_name,build_p,build_r,buitype,case_f,case_t,district,elevator,farea,fdate,landa,landa_z,location,manage,mb_area,mbuild,parea,parktype,pbuild,pprice,pu_area,rent_period,rent_service,rent_type,rmnote,rule,sb_area,sbuild,scnt,sdate,tbuild,tprice,trans_target,upnote,uprice
6,"{'date': '2026-08-12 10:56:01.271864', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,無,2,,有,3,住宅大樓(11層含以上有電梯),房屋+車位,租賃,北投區,,78.54,,0,,裕民六路123號三樓,有,,,16.7,坡道機械2,住家用,0,,115/07/01至117/06/30,無,整棟(戶)出租,此租金已扣除稅11086元，健保2339元,有,,三層,土地:建物:1車位:2房間個數:,1150630,014,10,,是,1240.6
9,"{'date': '2026-08-12 10:56:01.273580', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,公寓(5樓含以下無電梯),房地(土地+建物),買賣,士林區,無,5.31,,1.6,,美崙街62巷14號五樓,,,,0,,住家用,0,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：頂樓加蓋。增建3房1廳1衛,,,五層,土地:3建物:1車位:,1150528,,196,,否,36.91
26,"{'date': '2026-08-12 10:56:01.283022', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,7.1,,0,,凱旋路11號四樓之1,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅包租轉租,獨立套房,,無,,四層,土地:建物:1車位:房間個數:,1150629,005,1,,否,1126.76
31,"{'date': '2026-08-12 10:56:01.285627', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,2,,有,2,華廈(10層含以下有電梯),房地(土地+建物)+車位,買賣,北投區,有,37.57,,14.52,,稻香路225號三樓,,,,12.37,坡道平面1,見其他登記事項,210,,,,,,,,"一層,二層,三層,四層,五層,屋頂突出物,地下一層,地下二層,地下三層",土地:1建物:1車位:1,1150530,,2020,,否,71.83
44,"{'date': '2026-08-12 10:56:01.292515', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣1台、熱水器、電視機、冰箱、有線電視、網路、傢俱,0,,有,1,公寓(無電梯),房屋,租賃,士林區,,7.1,,0,,凱旋路11號二樓之1,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅包租轉租,獨立套房,,無,,二層,土地:建物:1車位:房間個數:,1150629,005,1,,否,1126.76
50,"{'date': '2026-08-12 10:56:01.295671', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,佳元織川,有,2,住宅大樓(11層含以上有電梯),房地(土地+建物)+車位,預售屋,北投區,,37.07,,4.71,,臺北市北投區洲美里福美路,,15.47,鋼筋混凝土造,10.8,坡道平面1,住家用,295,20.32,,,,,,1.28,四層,土地:1建物:1車位:1,1150701,014,2970,C棟04F號,否,101.83
65,"{'date': '2026-08-12 10:56:01.303713', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,,1,,有,0,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,26.2,,4.62,,立農街二段212號,,,,10.54,坡道平面1,商業用,300,,,,,,,,"一層,屋頂突出物,地下一層,地下二層",土地:1建物:1車位:1,1150618,,2000,,否,108.56
68,"{'date': '2026-08-12 10:56:01.305315', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",1,冷氣2台、熱水器、瓦斯或天然氣,1,,有,3,公寓(無電梯),房屋,租賃,士林區,,20.29,,0,,福華路147巷21號二樓,無,,,0,,住家用,0,,115/07/01至116/06/30,社會住宅代管,整棟(戶)出租,其他：續租案件。,無,,二層,土地:建物:1車位:房間個數:0,1150626,004,3,,否,1232.13
71,"{'date': '2026-08-12 10:56:01.306942', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",,,,,無,,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,16.91,,1.77,,溫泉路37巷30號二樓之8,,,,9.01,坡道平面1,住家用,250,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,"地下一層,地下二層,地下三層",土地:2建物:1車位:1,1150727,,762,,否,64.81
72,"{'date': '2026-08-12 10:56:01.307452', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",2,,2,,有,3,大樓(11層含以上有電梯),房地(土地+建物)+車位,買賣,北投區,有,49.06,,6.92,,大同街36號十二樓,,,,10.04,坡道平面1,見其他登記事項,280,,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,,,十二層,土地:1建物:1車位:1,1150612,,4475,,否,107.51
73,"{'date': '2026-08-12 10:56:01.308027', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",4,冷氣8台、熱水器、洗衣機、冰箱、傢俱,5,,有,3,透天厝,房屋+車位,租賃,士林區,,61.39,,0,,莊頂路172巷4號,無,,,0,一樓平面1,住家用,0,,116/01/01至117/06/30,無,整棟(戶)出租,"租賃標的：含增建或未登記建物。其他：續租案件。1.此租金已扣除管理費10000元，花園泳池整理費13000元
2.車位坪數無法拆算",無,,見其他登記事項,土地:建物:1車位:1房間個數:,1150622,002,21,,-,0
